id,name,code,is_active,created_at,updated_at
767277f1-04ef-4e41-9f7b-ec811c6f6c2b,Base Protection,BSP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
771c668d-3c4d-4ecf-88a6-abcc826bb138,Blue Collar FR,BCF,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
77aa41ea-8c8c-44aa-b7f8-59afca977d63,Energy Pro,ENP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
7a557693-cc12-44e6-84c9-840fb0e17018,Radians,RAD,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
7d427ff7-29f4-4d1f-a3bc-d52a81cca2b4,Lucchese,LUC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
7e966b03-b1f9-4503-842e-07b79255961c,Dan Post,DP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8028b7d0-5f8c-46b9-8e8a-92b706a351ca,Dickies,DIC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
80a4f40c-90fb-4b73-b5be-2ea133797a55,Projob,PRO,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
81deb797-ba04-4a63-830a-8ab6cddec081,Engel,ENG,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8363c082-9126-49de-a10e-f30da0f71c17,Daiber,DAI,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
83adb761-1457-4f2f-8edb-70ac82d627f1,Uvex Safety Group,UVX,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8405c94c-8e18-4e85-a6ef-e25c236a7014,Skill Pro,SKP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
844fa1c3-accc-425a-85ec-f06126329dac,Mills Ltd,MIL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
84cc66dc-1c28-4b53-bd3b-583aa7a44478,Red Wing,RW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
85b65754-add6-47b8-bcf2-2f856acfcd29,AWDis,AWD,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8606e73c-bb36-4ea6-922e-aea15fc0ec48,Uskees,USK,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8701f9b6-4eab-4fca-a976-87f054a275f2,Craft,CRA,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
871296d7-723b-4fc6-b263-936658913af0,FHB,FHB,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8899b5a3-b84c-4973-9086-6c6316ee259b,UniFirst,UNI,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
